video_id,label,frames,label_id,shape,format
11,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
34,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
36,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
37,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
42,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
55,Thumb Down,37,19,"(100, 176)",JPEG
58,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
62,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
66,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
69,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
74,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
85,Sliding Two Fingers Down,37,10,"(100, 100)",JPEG
89,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
121,Sliding Two Fingers Down,37,10,"(100, 132)",JPEG
154,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
160,Thumb Down,37,19,"(100, 132)",JPEG
176,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
184,Sliding Two Fingers Down,37,10,"(100, 132)",JPEG
188,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
193,Thumb Down,37,19,"(100, 176)",JPEG
223,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
227,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
238,Zooming In With Two Fingers,37,24,"(100, 132)",JPEG
239,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
242,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
246,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
255,Zooming In With Two Fingers,37,24,"(100, 100)",JPEG
259,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
280,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
288,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
304,Thumb Down,37,19,"(100, 176)",JPEG
310,Thumb Up,37,20,"(100, 176)",JPEG
330,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
331,Thumb Down,37,19,"(100, 176)",JPEG
332,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
381,Thumb Up,37,20,"(100, 176)",JPEG
383,Sliding Two Fingers Left,37,11,"(100, 132)",JPEG
391,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
396,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
403,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
419,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
431,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
499,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
524,Thumb Down,37,19,"(100, 176)",JPEG
531,Thumb Down,37,19,"(100, 176)",JPEG
533,Thumb Down,37,19,"(100, 176)",JPEG
540,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
547,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
548,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
564,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
596,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
597,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
638,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
661,Thumb Down,37,19,"(100, 176)",JPEG
681,Thumb Up,37,20,"(100, 176)",JPEG
695,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
698,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
702,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
712,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
718,Thumb Up,37,20,"(100, 176)",JPEG
729,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
730,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
732,Zooming Out With Two Fingers,37,26,"(100, 132)",JPEG
735,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
738,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
740,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
756,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
759,Thumb Up,37,20,"(100, 176)",JPEG
772,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
784,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
819,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
821,Thumb Down,37,19,"(100, 176)",JPEG
823,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
828,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
830,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
833,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
835,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
838,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
846,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
860,Thumb Up,37,20,"(100, 176)",JPEG
863,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
872,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
878,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
889,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
890,Thumb Up,37,20,"(100, 176)",JPEG
902,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
908,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
912,Thumb Up,37,20,"(100, 176)",JPEG
927,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
928,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
937,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
940,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
955,Thumb Down,37,19,"(100, 176)",JPEG
956,Thumb Down,37,19,"(100, 176)",JPEG
965,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
993,Sliding Two Fingers Right,37,12,"(100, 132)",JPEG
1000,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1002,Zooming Out With Two Fingers,37,26,"(100, 132)",JPEG
1007,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1038,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1061,Thumb Down,37,19,"(100, 176)",JPEG
1071,Thumb Down,37,19,"(100, 176)",JPEG
1081,Thumb Down,37,19,"(100, 176)",JPEG
1088,Zooming Out With Two Fingers,37,26,"(100, 132)",JPEG
1090,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1109,Zooming In With Two Fingers,37,24,"(100, 132)",JPEG
1138,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
1143,Zooming In With Two Fingers,37,24,"(100, 132)",JPEG
1150,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
1157,Thumb Up,37,20,"(100, 176)",JPEG
1180,Sliding Two Fingers Right,37,12,"(100, 176)",JPEG
1210,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1224,Zooming Out With Two Fingers,37,26,"(100, 132)",JPEG
1240,Thumb Down,37,19,"(100, 176)",JPEG
1250,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
1253,Thumb Down,37,19,"(100, 176)",JPEG
1256,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1262,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1265,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1266,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
1269,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
1277,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1289,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
1297,Thumb Down,37,19,"(100, 176)",JPEG
1308,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1312,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
1320,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
1329,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
